Rank	Entity	Nobel laureates	Population	Laureates ratio
1	Saint Lucia 	2 	179667 	111317
2	Luxembourg 	2 	590321 	33880
3	Sweden 	33 	9982709 	33057
4	Switzerland 	27 	8544034 	31601
5	Iceland 	1 	337780 	29605
6	Austria 	22 	8751820 	25138
7	Norway 	13 	5353363 	24284
8	Ireland 	11 	4803748 	22898
9	Denmark 	13 	5754356 	22592
10	United Kingdom 	133 	66573504 	19429
11	Israel 	13 	8452841 	15379
12	East Timor 	2 	1324094 	15105
13	Hungary 	13 	9688847 	13417
14	Germany 	109 	82293457 	13245
15	United States 	383 	326766748 	11721
16	Netherlands 	21 	17084459 	11707
17	France 	70 	65233271 	10664
18	Finland 	5 	5542517 	9021
19	Belgium 	10 	11498519 	8697
20	Cyprus 	1 	1189085 	8410
21	Trinidad and Tobago 	1 	1372598 	7285
22	Canada 	25 	36953765 	6765
23	New Zealand 	3 	4749598 	6316
24	Bosnia and Herzegovina 	2 	3503554 	5708
25	Australia 	14 	24772247 	5651
26	Czech Republic 	6 	10625250 	5647
27	Latvia 	1 	1929938 	5182
28	Croatia 	2 	3888529 	5143
29	Poland 	19 	38104832 	4986
30	North Macedonia 	1 	2085051 	4796
31	Slovenia 	1 	2108708 	4742
32	Liberia 	2 	4853516 	4121
33	Lithuania 	1 	2876475 	3476
34	Italy 	20 	59290969 	3373
35	Japan 	28 	127185332 	2202
36	Belarus 	2 	9452113 	2116
37	Romania 	4 	19580634 	2043
38	Costa Rica 	1 	4953199 	2019
39	PLO 	1 	5052776 	1979
40	Portugal 	2 	10291196 	1943
41	Greece 	2 	11142161 	1795
42	South Africa 	10 	57398421 	1742
43	Spain 	8 	46397452 	1724
44	Russia 	23 	143964709 	1598
45	Bulgaria 	1 	7036848 	1421
46	Guatemala 	2 	17245346 	1160
47	Argentina 	5 	44688864 	1119
48	Chile 	2 	18197209 	1099
49	Azerbaijan 	1 	9923914 	1008
50	Algeria 	2 	42008054 	0476
51	Ukraine 	2 	44009214 	0454
52	Taiwan 	1 	23694089 	0422
53	Colombia 	2 	49464683 	0404
54	Egypt 	4 	99375741 	0403
55	South Korea 	1 	51164435 	0195
56	Yemen 	1 	28915284 	0346
57	Ghana 	1 	29463643 	0339
58	Venezuela 	1 	32381221 	0309
59	Peru 	1 	32551815 	0307
60	Morocco 	1 	36191805 	0276
61	Iraq 	1 	39339753 	0254
62	Turkey 	2 	81916871 	0244
63	Iran 	2 	82011735 	0244
64	Mexico 	3 	130759074 	0229
65	Kenya 	1 	50950879 	0196
66	Myanmar 	1 	53855735 	0186
67	DR Congo 	1 	84004989 	0119
68	Vietnam 	1 	96491146 	0104
69	Pakistan 	4 	200813818 	0300
70	Ethiopia 	1 	109224410 	0092
71	India 	11 	1354051854 	0081
72	China 	9 	1415045928 	0064
73	Bangladesh 	1 	166368149 	0060
74	Nigeria 	1 	195875237 	0051
